"Month","Day","Year","Date","Victims_Killed","Victims_Wounded","Number_Victims","Media_Attention","Quarter","State","School_Level","During_School","Time_Period","Age","Weapon_Type","AgeGroup"
10,14,2022,"10/14/2022",0,0,0,"Regional","Fall","LA","High School","No","Sport Event","Teen","Handgun","Teen"
10,14,2022,"10/14/2022",0,0,0,"Regional","Fall","LA","High School","No","Sport Event","Adult","Handgun","Adult"
10,14,2022,"10/14/2022",0,0,0,"Regional","Fall","LA","High School","No","Sport Event","15","Handgun","Teen"
10,14,2022,"10/14/2022",0,0,0,"Local","Fall","TN","High School","No","Sport Event",NA,"Handgun",NA
10,13,2022,"10/13/2022",0,1,1,"Regional","Fall","NY","Other","Yes","Morning Classes","Adult","Multiple Handguns","Adult"
10,13,2022,"10/13/2022",0,1,1,"Regional","Fall","NY","Other","Yes","Morning Classes","Adult","Multiple Handguns","Adult"
10,13,2022,"10/13/2022",0,0,0,"Regional","Fall","TX","Elementary","Yes","School Start","Child","Handgun","Child"
10,12,2022,"10/12/2022",0,0,0,"Regional","Fall","NC","High School","Yes","Afternoon Classes","14","Handgun","Teen"
10,11,2022,"10/11/2022",0,0,0,"Local","Fall","KS","High School","Yes","Dismissal","15","Handgun","Teen"
10,11,2022,"10/11/2022",0,0,0,"Local","Fall","OR","High School","Yes","Lunch",NA,"Handgun",NA
10,10,2022,"10/10/2022",0,1,1,"Local","Fall","WI","High School","Yes","Dismissal","17","Handgun","Teen"
10,9,2022,"10/9/2022",0,1,1,"Local","Fall","MA","Elementary","No","Night",NA,"Handgun",NA
10,8,2022,"10/8/2022",0,0,0,"Local","Fall","MO","High School","No","School Event","Teen","Handgun","Teen"
10,7,2022,"10/7/2022",0,0,0,"Regional","Fall","AZ","High School","No","Sport Event",NA,"Handgun",NA
10,7,2022,"10/7/2022",0,3,3,"National","Fall","OH","High School","No","Sport Event",NA,"Handgun",NA
10,7,2022,"10/7/2022",0,0,0,"Local","Fall","MI","High School","No","Sport Event",NA,"Handgun",NA
10,7,2022,"10/7/2022",0,1,1,"Local","Fall","NC","High School","No","Sport Event",NA,"Handgun",NA
10,6,2022,"10/6/2022",0,0,0,"Local","Fall","OH","High School","No","Sport Event","Adult","Handgun","Adult"
10,4,2022,"10/4/2022",0,1,1,"National","Fall","MA","High School","Yes","Morning Classes","17","Handgun","Teen"
10,3,2022,"10/3/2022",0,0,0,"Local","Fall","MI","Middle school","Yes",NA,"Adult","Handgun","Adult"
10,1,2022,"10/1/2022",0,1,1,"Regional","Fall","CA","High School","No","Sport Event","37","Handgun","Adult"
9,30,2022,"9/30/2022",1,3,4,"National","Fall","OK","High School","No","Sport Event",NA,"Handgun",NA
9,30,2022,"9/30/2022",0,3,3,"Local","Fall","NY","High School","No","Sport Event",NA,"Handgun",NA
9,28,2022,"9/28/2022",0,0,0,"Local","Fall","LA","High School","Yes","Morning Classes","15","Handgun","Teen"
9,28,2022,"9/28/2022",0,6,6,"National","Fall","CA","High School","Yes","Afternoon Classes","Adult","Handgun","Adult"
9,28,2022,"9/28/2022",0,6,6,"National","Fall","CA","High School","Yes","Afternoon Classes","Adult","Handgun","Adult"
9,26,2022,"9/26/2022",0,1,1,"Local","Fall","GA","High School","Yes","Before School",NA,"Handgun",NA
9,23,2022,"9/23/2022",0,1,1,"Local","Fall","CA","High School","No","Sport Event","Teen","Handgun","Teen"
9,23,2022,"9/23/2022",0,1,1,"Local","Fall","WI","Middle school","No","Night","Adult","Handgun","Adult"
9,23,2022,"9/23/2022",0,2,2,"Regional","Fall","MN","High School","No","Sport Event","15","Handgun","Teen"
9,23,2022,"9/23/2022",0,2,2,"Regional","Fall","MN","High School","No","Sport Event","16","Handgun","Teen"
9,23,2022,"9/23/2022",0,2,2,"Regional","Fall","DE","High School","No","Sport Event",NA,"Handgun",NA
9,23,2022,"9/23/2022",0,0,0,"Local","Fall","PA","High School","No","Sport Event",NA,"Handgun",NA
9,22,2022,"9/22/2022",0,0,0,"National","Fall","AZ","Elementary","Yes","Dismissal","29","Handgun","Adult"
9,21,2022,"9/21/2022",0,0,0,"Regional","Fall","IN","Middle school","Yes","Dismissal","Teen","Handgun","Teen"
9,20,2022,"9/20/2022",0,0,0,"Local","Fall","NY","Middle school","Yes","After School","36","Handgun","Adult"
9,19,2022,"9/19/2022",0,0,0,"Local","Fall","FL","Elementary","Yes","Afternoon Classes","Adult","Handgun","Adult"
9,17,2022,"9/17/2022",0,2,2,"National","Fall","GA","High School","No","Sport Event","19","Handgun","Adult"
9,16,2022,"9/16/2022",0,0,0,"Regional","Fall","GA","High School","No","Sport Event","Adult","Multiple Handguns","Adult"
9,16,2022,"9/16/2022",0,0,0,"Regional","Fall","GA","High School","No","Sport Event","Adult","Multiple Handguns","Adult"
9,16,2022,"9/16/2022",0,0,0,"Regional","Fall","GA","High School","No","Sport Event","Adult","Multiple Handguns","Adult"
9,16,2022,"9/16/2022",0,0,0,"Local","Fall","NY","Elementary","No","After School","Teen","Other","Teen"
9,14,2022,"9/14/2022",0,0,0,"Local","Fall","PA","High School","Yes","Dismissal","Teen","Other","Teen"
9,13,2022,"9/13/2022",0,0,0,"Local","Fall","UT","High School","Yes","Afternoon Classes","Teen","Handgun","Teen"
9,13,2022,"9/13/2022",0,1,1,"Regional","Fall","CA","High School","Yes","Dismissal","Teen","Handgun","Teen"
9,9,2022,"9/9/2022",0,1,1,"Local","Fall","WI","High School","No","Sport Event",NA,"Handgun",NA
9,8,2022,"9/8/2022",0,0,0,"Local","Fall","LA","Middle school","No","Sport Event","Teen","Handgun","Teen"
9,7,2022,"9/7/2022",0,1,1,"Local","Fall","MD","High School","Yes","Dismissal",NA,"Handgun",NA
9,7,2022,"9/7/2022",0,0,0,"Local","Fall","WI","High School",NA,NA,"17","Handgun","Teen"
9,7,2022,"9/7/2022",0,0,0,"Local","Fall","WI","High School",NA,NA,"17","Rifle","Teen"
9,7,2022,"9/7/2022",0,0,0,"Local","Fall","WI","High School",NA,NA,"27","Handgun","Adult"
9,7,2022,"9/7/2022",0,0,0,"Local","Fall","WI","High School",NA,NA,"27","Rifle","Adult"
9,6,2022,"9/6/2022",0,0,0,"Local","Fall","IA","Middle school","Yes","Afternoon Classes","16","Other","Teen"
9,6,2022,"9/6/2022",0,0,0,"Local","Fall","IA","Middle school","Yes","Afternoon Classes","14","Other","Teen"
9,4,2022,"9/4/2022",0,4,4,"Regional","Fall","FL","High School","No","Sport Event","Adult","Handgun","Adult"
9,2,2022,"9/2/2022",1,0,1,"Regional","Fall","MD","High School","Yes","Dismissal","17","Handgun","Teen"
9,2,2022,"9/2/2022",0,0,0,"Regional","Fall","IN","High School","No","Sport Event","15","Handgun","Teen"
8,31,2022,"8/31/2022",0,0,0,"Local","Summer","NM","High School","Yes","Lunch","17","Handgun","Teen"
8,31,2022,"8/31/2022",0,2,2,"Regional","Summer","DC","High School","Yes","Morning Classes","15","Handgun","Teen"
8,31,2022,"8/31/2022",0,3,3,"Local","Summer","PA","Elementary","No","Night",NA,"Handgun",NA
8,31,2022,"8/31/2022",0,3,3,"Local","Summer","PA","Elementary","No","Night",NA,"Rifle",NA
8,29,2022,"8/29/2022",0,1,1,"National","Summer","CA","6th-12th","Yes","Afternoon Classes","12","Handgun","Teen"
8,27,2022,"8/27/2022",0,0,0,"Local","Summer","MO","High School","No","Sport Event","42","Handgun","Adult"
8,26,2022,"8/26/2022",0,0,0,"Local","Summer","OH","High School","No","Sport Event",NA,"Handgun",NA
8,23,2022,"8/23/2022",0,0,0,"Local","Summer","OH","Elementary","Yes","Afternoon Classes",NA,"Other",NA
8,23,2022,"8/23/2022",0,0,0,"Local","Summer","OH","Elementary","Yes","Dismissal","Adult","Handgun","Adult"
8,19,2022,"8/19/2022",0,0,0,"Local","Summer","LA","K-8th","Yes","Dismissal","12","Handgun","Teen"
8,19,2022,"8/19/2022",0,0,0,"Regional","Summer","OH","High School","No","Sport Event","18","Handgun","Teen"
8,18,2022,"8/18/2022",0,0,0,"Regional","Summer","FL","High School","Yes","Morning Classes","18","Handgun","Teen"
8,16,2022,"8/16/2022",0,0,0,"National","Summer","TX","High School","Yes","School Start","Teen","Handgun","Teen"
8,15,2022,"8/15/2022",0,0,0,"National","Summer","CA","High School","Yes","Lunch","17","Handgun","Teen"
8,12,2022,"8/12/2022",0,0,0,"Local","Summer","CA","High School","No","Sport Event",NA,"Handgun",NA
8,10,2022,"8/10/2022",0,0,0,"Regional","Summer","GA","High School","Yes","Morning Classes","18","Multiple Handguns","Teen"
8,9,2022,"8/8/2022",1,1,0,"Local","Summer","PA","Elementary","No","Night","Adult","Handgun","Adult"
8,5,2022,"8/5/2022",0,0,0,"Local","Summer","MA","Middle school","No","Sport Event","25","Handgun","Adult"
8,5,2022,"8/5/2022",0,0,0,"Local","Summer","GA","High School","No","Sport Event","27","Handgun","Adult"
8,3,2022,"8/3/2022",1,1,2,"Local","Summer","PA","Elementary","No","Night","Adult","Handgun","Adult"
7,31,2022,"7/31/2022",0,3,3,"National","Summer","CA","High School","No","Sport Event","Adult","Handgun","Adult"
7,31,2022,"7/31/2022",0,3,3,"National","Summer","CA","High School","No","Sport Event","Adult","Handgun","Adult"
7,31,2022,"7/31/2022",0,3,3,"National","Summer","CA","High School","No","Sport Event","Adult","Handgun","Adult"
7,29,2022,"7/29/2022",0,0,0,"Regional","Summer","IN","Elementary","No","Not a School Day","51","Handgun","Adult"
7,28,2022,"7/28/2022",0,0,0,"Local","Summer","KS","Elementary","No","Not a School Day","22","Handgun","Adult"
7,26,2022,"7/26/2022",0,0,0,"Local","Summer","TX","High School","No","Evening","Adult","Handgun","Adult"
7,25,2022,"7/25/2022",0,2,2,"Local","Summer","NY","High School","No","Night","Adult","Handgun","Adult"
7,20,2022,"7/20/2022",0,0,0,"Regional","Summer","CA","High School","Yes","Morning Classes","Adult","Handgun","Adult"
7,16,2022,"7/16/2022",0,1,1,"Local","Summer","GA","Elementary","No","Night","Adult","Handgun","Adult"
7,16,2022,"7/16/2022",0,0,0,"Local","Summer","NY","Middle school","No","Sport Event","Adult","Handgun","Adult"
6,13,2022,"6/13/2022",0,0,0,"Local","Summer","WA","High School","No","After School","15","Handgun","Teen"
6,10,2022,"6/10/2022",0,0,0,"Local","Summer","MS","High School","Yes","Morning Classes","Teen","Handgun","Teen"
6,9,2022,"6/9/2022",0,0,0,"National","Summer","AL","Elementary","Yes","Morning Classes",NA,"Handgun",NA
6,7,2022,"6/7/2022",0,0,0,"Local","Summer","MI","High School","No","After School",NA,"Handgun",NA
6,5,2022,"6/5/2022",0,2,2,"Local","Summer","IN","High School","No","School Event","Teen","Handgun","Teen"
6,1,2022,"6/1/2022",0,1,1,"Regional","Summer","CA","High School","Yes","Dismissal",NA,"Handgun",NA
5,31,2022,"5/31/2022",0,2,2,"National","Spring","LA","High School","Yes","School Event","18","Handgun","Teen"
5,31,2022,"5/31/2022",0,2,2,"National","Spring","LA","High School","Yes","School Event","40","Handgun","Adult"
5,30,2022,"5/30/2022",0,1,1,"Local","Spring","CA","High School","No","Evening","Adult","Handgun","Adult"
5,29,2022,"5/29/2022",0,5,5,"Local","Spring","IL","Elementary","No","Night",NA,"Rifle",NA
5,29,2022,"5/29/2022",0,5,5,"Local","Spring","IL","Elementary","No","Night",NA,"Handgun",NA
5,29,2022,"5/29/2022",0,5,5,"Local","Spring","IL","Elementary","No","Night",NA,"Rifle",NA
5,29,2022,"5/29/2022",0,5,5,"Local","Spring","IL","Elementary","No","Night",NA,"Handgun",NA
5,29,2022,"5/29/2022",0,5,5,"Local","Spring","IL","Elementary","No","Night",NA,"Rifle",NA
5,29,2022,"5/29/2022",0,5,5,"Local","Spring","IL","Elementary","No","Night",NA,"Handgun",NA
5,26,2022,"5/26/2022",0,0,0,"Local","Spring","TX","Elementary","Yes","Morning Classes","55","Handgun","Adult"
5,24,2022,"5/24/2022",0,1,1,"Local","Spring","DC","Elementary","No","After School",NA,"Handgun",NA
5,24,2022,"5/24/2022",0,0,0,"Local","Spring","WI","High School","Yes","Lunch","Teen","Handgun","Teen"
5,24,2022,"5/24/2022",21,18,39,"International","Spring","TX","Elementary","Yes","Morning Classes","18","Multiple Rifles","Teen"
5,23,2022,"5/23/2022",0,3,3,"Regional","Spring","PA","High School","Yes","Dismissal",NA,"Handgun",NA
5,20,2022,"5/20/2022",0,0,0,"Local","Spring","OH","High School","Yes","Dismissal","Teen","Other","Teen"
5,20,2022,"5/20/2022",0,0,0,"Local","Spring","VA","High School","Yes","Morning Classes","Teen","Handgun","Teen"
5,20,2022,"5/20/2022",0,0,0,"Local","Spring","IL","Elementary","Yes","School Start","Adult","Handgun","Adult"
5,19,2022,"5/19/2022",0,3,3,"National","Spring","LA","High School","No","School Event",NA,"Handgun",NA
5,18,2022,"5/18/2022",1,1,2,"National","Spring","TN","High School","No","School Event","17","Handgun","Teen"
5,18,2022,"5/18/2022",0,0,0,"Regional","Spring","FL","High School","No","Sport Event","13","Handgun","Teen"
5,17,2022,"5/17/2022",0,1,1,"Regional","Spring","IL","K-8th","Yes","Morning Classes","7","Handgun","Child"
5,16,2022,"5/16/2022",0,0,0,"Local","Spring","TX","High School","Yes","Morning Classes","Teen","Handgun","Teen"
5,15,2022,"5/15/2022",0,1,1,"Local","Spring","IL","Elementary","No","Evening","16","Handgun","Teen"
5,15,2022,"5/15/2022",0,0,0,"Local","Spring","NH","Elementary","No","Not a School Day","Teen","Other","Teen"
5,15,2022,"5/15/2022",0,0,0,"Local","Spring","NH","Elementary","No","Not a School Day","Teen","Other","Teen"
5,13,2022,"5/13/2022",1,0,1,"National","Spring","FL","High School","Yes","Lunch",NA,"Handgun",NA
5,12,2022,"5/12/2022",1,2,3,"National","Spring","AR","High School","No","School Event","25","Handgun","Adult"
5,9,2022,"5/9/2022",1,0,1,"Regional","Spring","NY","Other","Yes","Afternoon Classes","Adult","Handgun","Adult"
5,9,2022,"5/9/2022",0,0,0,"Regional","Spring","GA","Elementary","Yes","School Start","57","Handgun","Adult"
5,5,2022,"5/5/2022",0,0,0,"Local","Spring","AL","K-12th","No","After School","20","Other","Adult"
5,5,2022,"5/5/2022",0,0,0,"Regional","Spring","OH","K-12th","Yes","Morning Classes","13","Handgun","Teen"
5,5,2022,"5/5/2022",0,0,0,"Regional","Spring","OH","K-12th","Yes","Morning Classes","Adult","Handgun","Adult"
5,1,2022,"5/1/2022",1,0,1,"Local","Spring","OH","Elementary","No","Not a School Day",NA,"Handgun",NA
5,1,2022,"5/1/2022",0,2,2,"National","Spring","VA","Middle school","No","Sport Event","Adult","Handgun","Adult"
4,30,2022,"4/30/2022",0,0,0,"Local","Spring","PA","Middle school","No","Sport Event","Adult","Handgun","Adult"
4,27,2022,"4/27/2022",0,0,0,"Local","Spring","IN","Elementary","Yes","Dismissal","Child","Other","Child"
4,27,2022,"4/27/2022",0,1,1,"Local","Spring","TX","Elementary","No","Evening",NA,"Handgun",NA
4,26,2022,"4/26/2022",0,0,0,"Local","Spring","MI","K-8th","Yes","Afternoon Classes","Child","Handgun","Child"
4,26,2022,"4/26/2022",1,0,1,"Local","Spring","GA","High School","No","Night",NA,"Handgun",NA
4,26,2022,"4/26/2022",1,0,1,"Local","Spring","GA","High School","No","Night",NA,"Other",NA
4,26,2022,"4/26/2022",1,0,1,"Local","Spring","GA","High School","No","Night","Adult","Handgun","Adult"
4,26,2022,"4/26/2022",1,0,1,"Local","Spring","GA","High School","No","Night","Adult","Other","Adult"
4,25,2022,"4/25/2022",0,0,0,"Local","Spring","WI","6th-12th","Yes","Dismissal",NA,"Multiple Handguns",NA
4,25,2022,"4/25/2022",0,0,0,"Local","Spring","WI","6th-12th","Yes","Dismissal",NA,"Multiple Handguns",NA
4,24,2022,"4/24/2022",1,0,1,"Local","Spring","MO","High School","No","Not a School Day","18","Handgun","Teen"
4,24,2022,"4/24/2022",1,0,1,"Local","Spring","MO","High School","No","Not a School Day","18","Handgun","Teen"
4,22,2022,"4/22/2022",0,4,4,"International","Spring","DC","6th-12th","Yes","Afternoon Classes","23","Multiple Rifles","Adult"
4,22,2022,"4/22/2022",0,4,4,"International","Spring","DC","6th-12th","Yes","Afternoon Classes","23","Multiple Handguns","Adult"
4,22,2022,"4/22/2022",0,0,0,"Local","Spring","OR","Middle school","No","Night","Teen","Handgun","Teen"
4,22,2022,"4/22/2022",0,0,0,"Local","Spring","CA","Middle school","No","Sport Event",NA,"Rifle",NA
4,21,2022,"4/21/2022",1,0,1,"Local","Spring","ND","K-12th","Yes","Afternoon Classes",NA,"Handgun",NA
4,16,2022,"4/16/2022",0,1,1,"Local","Spring","IA","Middle school","No","Evening","Adult","Handgun","Adult"
4,15,2022,"4/15/2022",0,1,1,"Regional","Spring","VA","High School","No","School Event","16","Handgun","Teen"
4,14,2022,"4/14/2022",0,2,2,"Local","Spring","MS","High School","Yes","Lunch","Teen","Other","Teen"
4,14,2022,"4/14/2022",0,2,2,"Local","Spring","MS","High School","Yes","Lunch","Teen","Other","Teen"
4,14,2022,"4/14/2022",0,2,2,"Local","Spring","MS","High School","Yes","Lunch","Teen","Other","Teen"
4,13,2022,"4/13/2022",0,0,0,"Local","Spring","MI","Elementary","Yes","Afternoon Classes","11","Other","Child"
4,11,2022,"4/11/2022",0,0,0,"Local","Spring","AR","High School","Yes","Afternoon Classes","Teen","Handgun","Teen"
4,10,2022,"4/10/2022",1,0,1,"Regional","Spring","MA","High School","No","Night",NA,"Handgun",NA
4,6,2022,"4/6/2022",0,0,0,"Local","Spring","WA","Elementary","Yes","Afternoon Classes",NA,"Other",NA
4,6,2022,"4/6/2022",0,1,1,"Local","Spring","OR","High School","No","Night",NA,"Handgun",NA
4,6,2022,"4/6/2022",0,0,0,"Local","Spring","WV","Middle school","Yes","School Start","15","Handgun","Teen"
4,5,2022,"4/5/2022",0,1,1,"National","Spring","PA","High School","Yes","Morning Classes","Minor","Handgun",NA
4,3,2022,"4/3/2022",0,1,1,"Local","Spring","IN","High School","No","Evening","18","Multiple Handguns","Teen"
4,3,2022,"4/3/2022",0,1,1,"Local","Spring","IN","High School","No","Evening","15","Multiple Handguns","Teen"
3,31,2022,"3/31/2022",0,0,0,"Regional","Spring","PA","Elementary","Yes","School Start","8","Handgun","Child"
3,30,2022,"3/30/2022",0,0,0,"Regional","Spring","GA","High School","Yes","Dismissal","31","Handgun","Adult"
3,30,2022,"3/30/2022",0,1,1,"Local","Spring","AZ","High School","Yes","Dismissal","14","Handgun","Teen"
3,29,2022,"3/29/2022",0,0,0,"Local","Spring","VA","Middle school","Yes","Afternoon Classes","Teen","Handgun","Teen"
3,29,2022,"3/29/2022",0,2,2,"Regional","Spring","NV","High School","Yes","Dismissal","Adult","Handgun","Adult"
3,28,2022,"3/28/2022",0,0,0,"Local","Spring","TX","High School","No","After School",NA,"Handgun",NA
3,28,2022,"3/28/2022",0,1,1,"Local","Spring","NC","Elementary","No","Not a School Day","18","Handgun","Teen"
3,25,2022,"3/25/2022",0,0,0,"Local","Spring","TN","High School","No","Evening","Adult","Handgun","Adult"
3,25,2022,"3/25/2022",0,0,0,"Local","Spring","UT","High School","Yes","Lunch","Teen","Handgun","Teen"
3,25,2022,"3/25/2022",0,0,0,"Local","Spring","UT","High School","Yes","Lunch","Teen","Other","Teen"
3,25,2022,"3/25/2022",0,0,0,"Local","Spring","UT","High School","Yes","Lunch","Adult","Handgun","Adult"
3,25,2022,"3/25/2022",0,0,0,"Local","Spring","UT","High School","Yes","Lunch","Adult","Other","Adult"
3,25,2022,"3/25/2022",0,0,0,"Regional","Spring","TX","High School","Yes","School Start","Teen","Other","Teen"
3,25,2022,"3/25/2022",0,0,0,"Regional","Spring","TX","High School","Yes","School Start","Teen","Other","Teen"
3,25,2022,"3/25/2022",0,0,0,"Regional","Spring","TX","High School","Yes","School Start","Teen","Other","Teen"
3,25,2022,"3/25/2022",0,0,0,"Regional","Spring","TX","High School","Yes","School Start","Teen","Other","Teen"
3,25,2022,"3/25/2022",0,0,0,"Regional","Spring","TX","High School","Yes","School Start","Teen","Other","Teen"
3,24,2022,"3/24/2022",0,0,0,"Regional","Spring","VA","Middle school","Yes","Morning Classes","20","Multiple Rifles","Adult"
3,22,2022,"3/22/2022",0,0,0,"Local","Spring","VA","Middle school","Yes","Dismissal","Adult","Handgun","Adult"
3,22,2022,"3/22/2022",0,0,0,"Regional","Spring","TX","High School","Yes","Dismissal","Teen","Handgun","Teen"
3,22,2022,"3/22/2022",0,0,0,"Regional","Spring","FL","High School","Yes","Dismissal","17","Other","Teen"
3,21,2022,"3/21/2022",0,0,0,"Local","Spring","WI","Middle school","Yes","Dismissal","36","Handgun","Adult"
3,21,2022,"3/21/2022",0,0,0,"Local","Spring","AZ","Middle school","Yes","Morning Classes","31","Handgun","Adult"
3,19,2022,"3/19/2022",0,0,0,"Regional","Spring","AL","Middle school","No","Not a School Day","Adult","Handgun","Adult"
3,18,2022,"3/18/2022",0,0,0,"Local","Spring","RI","High School","Yes","Dismissal","17","Other","Teen"
3,18,2022,"3/18/2022",0,0,0,"Local","Spring","RI","High School","Yes","Dismissal","18","Other","Teen"
3,18,2022,"3/18/2022",0,0,0,"Regional","Spring","IL","High School","Yes","School Start","Teen","Other","Teen"
3,17,2022,"3/17/2022",0,0,0,"Local","Spring","AK","6th-12th","Yes","Dismissal","Teen","Handgun","Teen"
3,16,2022,"3/16/2022",0,0,0,"National","Spring","CA","Middle school","Yes","Afternoon Classes","12","Handgun","Teen"
3,15,2022,"3/15/2022",1,1,2,"National","Winter","WA","High School","Yes","Dismissal","15","Multiple Handguns","Teen"
3,15,2022,"3/15/2022",0,1,1,"Regional","Spring","MD","High School","Yes","Dismissal",NA,"Handgun",NA
3,15,2022,"3/15/2022",0,0,0,"Local","Spring","GA","Middle school","No","Night","Adult","Handgun","Adult"
3,15,2022,"3/15/2022",0,2,2,"Regional","Spring","MA","High School","No","Sport Event","16","Multiple Handguns","Teen"
3,15,2022,"3/15/2022",0,2,2,"Regional","Spring","MA","High School","No","Sport Event","17","Multiple Handguns","Teen"
3,14,2022,"3/14/2022",0,0,0,"National","Spring","CA","Middle school","Yes","Morning Classes","Adult","Handgun","Adult"
3,11,2022,"3/11/2022",0,0,0,"Local","Spring","CA","High School","Yes","Dismissal","Teen","Handgun","Teen"
3,11,2022,"3/11/2022",0,0,0,"Local","Spring","OH","Middle school","Yes","Lunch","43","Handgun","Adult"
3,11,2022,"3/11/2022",0,0,0,"Local","Spring","WI","Elementary","Yes",NA,"Child","Handgun","Child"
3,10,2022,"3/10/2022",1,0,1,"Local","Spring","MD","Elementary","Yes","Dismissal","Adult","Handgun","Adult"
3,10,2022,"3/10/2022",0,0,0,"Local","Spring","CO","High School","Yes","Morning Classes","17","Other","Teen"
3,10,2022,"3/10/2022",0,0,0,"Local","Spring","TN","K-8th","Yes","School Start","Adult","Handgun","Adult"
3,9,2022,"3/9/2022",0,3,3,"Local","Spring","FL","High School","Yes","Afternoon Classes","18","Handgun","Teen"
3,9,2022,"3/9/2022",0,3,3,"Local","Spring","FL","High School","Yes","Afternoon Classes","18","Rifle","Teen"
3,9,2022,"3/9/2022",0,3,3,"Local","Spring","FL","High School","Yes","Afternoon Classes","17","Handgun","Teen"
3,9,2022,"3/9/2022",0,3,3,"Local","Spring","FL","High School","Yes","Afternoon Classes","17","Rifle","Teen"
3,9,2022,"3/9/2022",0,1,1,"Regional","Spring","TX","High School","No","Sport Event","18","Handgun","Teen"
3,9,2022,"3/9/2022",0,0,0,"Local","Spring","NM","High School","No","Sport Event",NA,"Other",NA
